C:/Users/user/Downloads/123456789012_2020-05-23 16_16_51.scn
C:/Users/user/Downloads/123456789012_2020-05-23 16_16_51.xml
0.0 0.0 68864.0 41984.0
Samplefile-tile-r100-c100-x6400-y23808-w256-h256.png Mitosis1 3 2.3618876344054516 Samplefile-tile-r100-c100-x6400-y23808-w256-h256_masked.png
Samplefile-tile-r100-c100-x6912-y26112-w256-h256.png Mitosis2 3 1.7085995653139472 Samplefile-tile-r100-c100-x6912-y26112-w256-h256_masked.png
Samplefile-tile-r100-c100-x7168-y27904-w256-h256.png Mitosis3 1 1.298856414479403 Samplefile-tile-r100-c100-x7168-y27904-w256-h256_masked.png
Samplefile-tile-r100-c100-x7168-y28160-w256-h256.png Mitosis3 1 0.1668539969418689 Samplefile-tile-r100-c100-x7168-y28160-w256-h256_masked.png
Samplefile-tile-r100-c100-x7168-y28672-w256-h256.png Mitosis4 3 4.890088531818276 Samplefile-tile-r100-c100-x7168-y28672-w256-h256_masked.png
Samplefile-tile-r100-c100-x7936-y28672-w256-h256.png Mitosis5 3 2.2565957844432094 Samplefile-tile-r100-c100-x7936-y28672-w256-h256_masked.png
Samplefile-tile-r100-c100-x7936-y28672-w256-h256.png Mitosis6 3 1.3400780904420344 Samplefile-tile-r100-c100-x7936-y28672-w256-h256_masked.png
Samplefile-tile-r100-c100-x8192-y28928-w256-h256.png Mitosis7 1 0.25640849681696054 Samplefile-tile-r100-c100-x8192-y28928-w256-h256_masked.png
Samplefile-tile-r100-c100-x8448-y28672-w256-h256.png Mitosis8 3 0.9907005882920037 Samplefile-tile-r100-c100-x8448-y28672-w256-h256_masked.png
Samplefile-tile-r100-c100-x8448-y28928-w256-h256.png Mitosis7 1 1.401938140106481 Samplefile-tile-r100-c100-x8448-y28928-w256-h256_masked.png
Samplefile-tile-r100-c100-x9472-y20224-w256-h256.png Mitosis10 1 0.7956881022615134 Samplefile-tile-r100-c100-x9472-y20224-w256-h256_masked.png
Samplefile-tile-r100-c100-x9472-y20480-w256-h256.png Mitosis10 1 0.3133080679134617 Samplefile-tile-r100-c100-x9472-y20480-w256-h256_masked.png
Samplefile-tile-r100-c100-x9728-y20224-w256-h256.png Mitosis10 1 0.36487062250503577 Samplefile-tile-r100-c100-x9728-y20224-w256-h256_masked.png
Samplefile-tile-r100-c100-x9728-y20480-w256-h256.png Mitosis10 1 0.11747593971948411 Samplefile-tile-r100-c100-x9728-y20480-w256-h256_masked.png
Samplefile-tile-r100-c100-x10240-y20224-w256-h256.png Mitosis9 1 2.63485321289623 Samplefile-tile-r100-c100-x10240-y20224-w256-h256_masked.png
Samplefile-tile-r100-c100-x10240-y20480-w256-h256.png Mitosis9 1 0.5023653166930915 Samplefile-tile-r100-c100-x10240-y20480-w256-h256_masked.png
Samplefile-tile-r100-c100-x14080-y18688-w256-h256.png Mitosis11 1 1.2082853972009506 Samplefile-tile-r100-c100-x14080-y18688-w256-h256_masked.png
Samplefile-tile-r100-c100-x14080-y18944-w256-h256.png Mitosis11 1 0.13686772168743436 Samplefile-tile-r100-c100-x14080-y18944-w256-h256_masked.png
Samplefile-tile-r100-c100-x14336-y18688-w256-h256.png Mitosis11 1 2.2984755579026577 Samplefile-tile-r100-c100-x14336-y18688-w256-h256_masked.png
Samplefile-tile-r100-c100-x14336-y18944-w256-h256.png Mitosis11 1 0.3801950894203917 Samplefile-tile-r100-c100-x14336-y18944-w256-h256_masked.png
Samplefile-tile-r100-c100-x15360-y17408-w256-h256.png Mitosis12 1 1.5856248054161237 Samplefile-tile-r100-c100-x15360-y17408-w256-h256_masked.png
Samplefile-tile-r100-c100-x15616-y17408-w256-h256.png Mitosis12 1 0.009307421869591262 Samplefile-tile-r100-c100-x15616-y17408-w256-h256_masked.png
Samplefile-tile-r100-c100-x18688-y31744-w256-h256.png Mitosis14 1 0.8729257264275543 Samplefile-tile-r100-c100-x18688-y31744-w256-h256_masked.png
Samplefile-tile-r100-c100-x18688-y32000-w256-h256.png Mitosis14 1 1.1012964603844844 Samplefile-tile-r100-c100-x18688-y32000-w256-h256_masked.png
Samplefile-tile-r100-c100-x18688-y36096-w256-h256.png Mitosis17 1 1.889025207196126 Samplefile-tile-r100-c100-x18688-y36096-w256-h256_masked.png
Samplefile-tile-r100-c100-x18688-y36352-w256-h256.png Mitosis17 1 0.27544020852617335 Samplefile-tile-r100-c100-x18688-y36352-w256-h256_masked.png
Samplefile-tile-r100-c100-x19200-y35328-w256-h256.png Mitosis16 1 1.132844151842487 Samplefile-tile-r100-c100-x19200-y35328-w256-h256_masked.png
Samplefile-tile-r100-c100-x19200-y35584-w256-h256.png Mitosis16 1 0.331669761283083 Samplefile-tile-r100-c100-x19200-y35584-w256-h256_masked.png
Samplefile-tile-r100-c100-x19456-y21504-w256-h256.png Mitosis13 3 1.076848465534313 Samplefile-tile-r100-c100-x19456-y21504-w256-h256_masked.png
Samplefile-tile-r100-c100-x19456-y33536-w256-h256.png Mitosis15 3 2.1142124873316677 Samplefile-tile-r100-c100-x19456-y33536-w256-h256_masked.png
Samplefile-tile-r100-c100-x20224-y35072-w256-h256.png Mitosis25 3 3.8287945441199502 Samplefile-tile-r100-c100-x20224-y35072-w256-h256_masked.png
Samplefile-tile-r100-c100-x20224-y35840-w256-h256.png Mitosis20 3 2.1106229924456237 Samplefile-tile-r100-c100-x20224-y35840-w256-h256_masked.png
Samplefile-tile-r100-c100-x20736-y35072-w256-h256.png Mitosis24 1 0.9828446397450026 Samplefile-tile-r100-c100-x20736-y35072-w256-h256_masked.png
Samplefile-tile-r100-c100-x20736-y35328-w256-h256.png Mitosis24 1 0.10596880873874746 Samplefile-tile-r100-c100-x20736-y35328-w256-h256_masked.png
Samplefile-tile-r100-c100-x20992-y35840-w256-h256.png Mitosis21 1 0.7305044549736519 Samplefile-tile-r100-c100-x20992-y35840-w256-h256_masked.png
